Site,Section,Nom_original,Échantillon,Cultivar,Âge,Recépage,Profondeur,Notes,Pourcentage_azote,Pourcentage_carbone,MVA
Mtl Est 1,7,8 (Bloc 3 M1),M1-51,SX 67,7,Oui,H1,,0.6937,9.78,1.284889861
Mtl Est 1,7,8 (Bloc 3 M1),M1-52,SX 67,7,Oui,H2,30-45,0.6854,8.5,1.737364212
Mtl Est 1,7,8 (Bloc 3 M2) ,M1-53,SX 67,7,Oui,H1,,0.7894,10.51,1.284889861
Mtl Est 1,7,8 (Bloc 3 M2) ,M1-54,SX 67,7,Oui,H2,,0.64,7.11,1.737364212
Mtl Est 1,7,9 (Bloc 3 témoin),M1-55,Témoin ,7,Témoin,H1,,0.652,9.06,1.095541642
Mtl Est 1,7,9 (Bloc 3 témoin),M1-56,Témoin ,7,Témoin,H2,30-45,0.6476,8.37,1.186255281
Mtl Est 2,10,2,M2-57,Fish Creek,6,Oui,H1,,0.3416,6.61,1.464393482
Mtl Est 2,10,2,M2-58,Fish Creek,6,Oui,H2,,0.2499,5.49,1.673808087
Mtl Est 2,9,13,M2-59,SX 67,6,Oui,H1,,0.2735,6.28,1.464393482
Mtl Est 2,9,13,M2-60,SX 67,6,Oui,H2,,0.2379,6.45,1.673808087
Mtl Est 2,9,15,M2-61,Témoin ,6,Témoin,H1,,0.1173,7.09,1.649781231
Mtl Est 2,9,15,M2-62,Témoin ,6,Témoin,H2,,0.1633,6.33,1.880393784
Mtl Est 2,11,19,M2-63,Discolor,3,Non,H1,,0.1382,6.93,1.464393482
Mtl Est 2,11,19,M2-64,Discolor,3,Non,H2,,0.1365,6.93,1.673808087
Mtl Est 2,11,20,M2-65,Discolor,3,Non,H1,,0.1148,7.74,1.464393482
Mtl Est 2,11,20,M2-66,Discolor,3,Non,H2,,0.1359,7.35,1.673808087
Mtl Est 2,11,21,M2-67,Témoin ,6,Témoin,H1,,0.1159,7.73,1.649781231
Mtl Est 2,11,21,M2-68,Témoin ,6,Témoin,H2,,0.1368,7.91,1.880393784
Mtl Est 2,9,22,M2-69,Témoin ,6,Témoin,H1,,0.1187,7.97,1.649781231
Mtl Est 2,9,22,M2-70,Témoin ,6,Témoin,H2,,0.196,7.5,1.880393784
Mtl Est 2,9,23,M2-71,Témoin ,6,Témoin,H1,,0.1698,6.16,1.649781231
Mtl Est 2,9,23,M2-72,Témoin ,6,Témoin,H2,,0.0933,3.78,1.880393784
Mtl Est 2,9,26,M2-73,SX 67,6,Non,H1,,0.2938,4.93,1.464393482
Mtl Est 2,9,26,M2-74,SX 67,6,Non,H2,,0.2182,5.92,1.673808087
Mtl Est 2,9,30,M2-75,SX 67,6,Non,H1,,0.3294,5.58,1.464393482
Mtl Est 2,9,30,M2-76,SX 67,6,Non,H2,,0.2726,4.89,1.673808087
Mtl Est 2,10,02B,M2-77,Témoin ,6,Témoin,H1,,0.3769,7.04,1.649781231
Mtl Est 2,10,02B,M2-78,Témoin ,6,Témoin,H2,30-50,0.2124,6.02,1.880393784
Mtl Est 2,10,12B,M2-79,SX 67,6,Oui,H1,,0.2146,5.29,1.464393482
Mtl Est 2,10,12B,M2-80,SX 67,6,Oui,H2,,0.1973,5.6,1.673808087
Mtl Est 2,10,12B (Nord),M2-81,SX 67,6,Oui,H1,,0.2726,5.64,1.464393482
Mtl Est 2,10,12B (Nord),M2-82,SX 67,6,Oui,H2,,0.1846,5.59,1.673808087
Mtl Est 2,9,13B,M2-83,Fish Creek,6,Oui,H1,,0.2635,6.62,1.464393482
Mtl Est 2,9,13B,M2-84,Fish Creek,6,Oui,H2,,0.1652,7.71,1.673808087
Mtl Est 2,9,22B,M2-85,SX 67,6,Oui,H1,,0.2797,6.51,1.464393482
Mtl Est 2,9,22B,M2-86,SX 67,6,Oui,H2,,0.2729,6.06,1.673808087
Mtl Est 2,9,23B,M2-87,Fish Creek,6,Oui,H1,,0.0964,2.04,1.464393482
Mtl Est 2,9,23B,M2-88,Fish Creek,6,Oui,H2,,0.0181,0.41,1.673808087
Mtl Est 2,9,24B (Ouest),M2-89,Témoin ,6,Témoin,H1,,0.168,7.39,1.649781231
Mtl Est 2,9,24B (Ouest),M2-90,Témoin ,6,Témoin,H2,,0.0032,0.49,1.880393784
Mtl Est 2,10,26B,M2-91,SX 67,6,Non,H1,,0.3062,6.59,1.464393482
Mtl Est 2,10,26B,M2-92,SX 67,6,Non,H2,30-45,0.2719,6.91,1.673808087
Mtl Est 2,10,28B,M2-93,Fish Creek,6,Oui,H1,,0.3185,6.77,1.464393482
Mtl Est 2,10,28B,M2-94,Fish Creek,6,Oui,H2,,0.2407,5.91,1.673808087
Mtl Est 2,9,29B,M2-95,SX 67,6,Oui,H1,,0.2771,5.14,1.464393482
Mtl Est 2,9,29B,M2-96,SX 67,6,Oui,H2,,0.2948,6.63,1.673808087
Mtl Est 2,9,30B,M2-97,Fish Creek,6,Oui,H1,,0.2701,6.63,1.464393482
Mtl Est 2,9,30B,M2-98,Fish Creek,6,Oui,H2,,0.1808,4.15,1.673808087
Mtl Est 2,9,32B,M2-99,Fish Creek,6,Oui,H1,,0.0852,2.17,1.464393482
Mtl Est 2,9,32B,M2-100,Fish Creek,6,Oui,H2,,0.0311,0.42,1.673808087
Mtl Est 2,9,29,M2-101,SX 67,6,Non,H1,,0.253,4.42,1.464393482
Mtl Est 2,9,29,M2-102,SX 67,6,Non,H2,,0.132,6.18,1.673808087
Mtl Est 3,14,10,M3-103,Discolor,2,Non,H1,,0.7983,12.72,1.266105914
Mtl Est 3,14,10,M3-104,Discolor,2,Non,H2,,0.4743,9.33,1.629941159
Mtl Est 3,14,14,M3-105,SX 67,5,Non,H1,,0.347,7.15,1.266105914
Mtl Est 3,14,14,M3-106,SX 67,5,Non,H2,,0.4062,8.07,1.629941159
Mtl Est 3,14,15,M3-107,Discolor,2,Non,H1,,0.6039,10.43,1.266105914
Mtl Est 3,14,15,M3-108,Discolor,2,Non,H2,30-40,0.7338,12.55,1.629941159
Mtl Est 3,14,18,M3-109,Témoin ,5,Témoin,H1,,0.3211,6.64,1.376735063
Mtl Est 3,14,18,M3-110,Témoin ,5,Témoin,H2,,0.2267,5.68,1.339959264
Mtl Est 3,12,19,M3-111,SX 67,5,Oui,H1,,0.3471,7.15,1.266105914
Mtl Est 3,12,19,M3-112,SX 67,5,Oui,H2,,0.2561,6.17,1.629941159
Mtl Est 3,12,21,M3-113,Témoin ,5,Témoin,H1,,0.492,8.45,1.376735063
Mtl Est 3,12,21,M3-114,Témoin ,5,Témoin,H2,,0.402,7.86,1.339959264
Mtl Est 3,12,24,M3-115,Témoin ,5,Témoin,H1,,0.8429,15.24,1.376735063
Mtl Est 3,12,24,M3-116,Témoin ,5,Témoin,H2,,0.45,9.14,1.339959264
Mtl Est 3,13,28,M3-117,Témoin ,5,Témoin,H1,,0.4773,7.67,1.376735063
Mtl Est 3,13,28,M3-118,Témoin ,5,Témoin,H2,,0.4921,8.44,1.339959264
Mtl Est 3,13,31,M3-119,Témoin ,5,Témoin,H1,,0.9173,12.5,1.376735063
Mtl Est 3,13,31,M3-120,Témoin ,5,Témoin,H2,,0.9167,13.28,1.339959264
Mtl Est 3,13,36,M3-121,Fish Creek,5,Oui,H1,,0.6425,9.6,1.266105914
Mtl Est 3,13,36,M3-122,Fish Creek,5,Oui,H2,,0.3574,7.1,1.629941159
Mtl Est 3,13,38,M3-123,SX 67,5,Non,H1,,0.5561,8.17,1.266105914
Mtl Est 3,13,38,M3-124,SX 67,5,Non,H2,,0.7233,10.03,1.629941159
Mtl Est 3,13,39,M3-125,Fish Creek,5,Oui,H1,,0.5969,8.93,1.266105914
Mtl Est 3,13,39,M3-126,Fish Creek,5,Oui,H2,,0.3863,5.84,1.629941159
Mtl Est 3,14,14 (Ouest),M3-127,Fish Creek,4,Non,H1,,0.5202,9.46,1.266105914
Mtl Est 3,14,14 (Ouest),M3-128,Fish Creek,4,Non,H2,,0.2581,6.96,1.629941159
Mtl Est 3,12,22 (Sud),M3-129,Fish Creek,4,Oui,H1,,0.422,7.8,1.266105914
Mtl Est 3,12,22 (Sud),M3-130,Fish Creek,4,Oui,H2,,0.3178,7.96,1.629941159
Mtl Est 4,15,1,M4-131,Témoin ,4,Témoin,H1,,0.5672,6.71,1.29748793
Mtl Est 4,15,1,M4-132,Témoin ,4,Témoin,H2,30-50,0.3778,4.97,1.482159022
Mtl Est 4,16,2,M4-133,Témoin ,4,Témoin,H1,,0.7428,8.85,1.29748793
Mtl Est 4,16,2,M4-134,Témoin ,4,Témoin,H2,30-45,0.5986,6.83,1.482159022
Mtl Est 4,17,4,M4-135,Fish Creek,4,Non,H1,,0.4677,8.44,1.231253772
Mtl Est 4,17,4,M4-136,Fish Creek,4,Non,H2,30-45,0.428,8.61,1.416339771
Mtl Est 4,17,8,M4-137,Discolor,4,Oui,H1,,0.3949,7.28,1.231253772
Mtl Est 4,17,8,M4-138,Discolor,4,Oui,H2,30-45,0.4016,7.07,1.416339771
Mtl Est 4,16,10,M4-139,Témoin ,4,Témoin,H1,,0.493,5.37,1.29748793
Mtl Est 4,16,10,M4-140,Témoin ,4,Témoin,H2,,0.5343,5.85,1.482159022
Mtl Est 4,15,12,M4-141,SX 67,4,Non,H1,,0.6086,9.21,1.231253772
Mtl Est 4,15,12,M4-142,SX 67,4,Non,H2,,0.5492,6.9,1.416339771
Mtl Est 4,17,19,M4-143,Témoin ,4,Témoin,H1,,0.5123,9.59,1.29748793
Mtl Est 4,17,19,M4-144,Témoin ,4,Témoin,H2,30-45,0.4559,9.55,1.482159022
Mtl Est 4,15,21,M4-145,Fish Creek,4,Oui,H1,,0.573,8.59,1.231253772
Mtl Est 4,15,21,M4-146,Fish Creek,4,Oui,H2,30-45,0.5847,7.3,1.416339771
Mtl Est 4,16,10 (Ouest),M4-147,SX 67,4,Non,H1,,0.4686,5.91,1.231253772
Mtl Est 4,16,10 (Ouest),M4-148,SX 67,4,Non,H2,30-45,0.4118,5.41,1.416339771
Mtl Est 4,16,13 (Est),M4-149,Discolor,4,Non,H1,,0.7852,11.56,1.231253772
Mtl Est 4,16,13 (Est),M4-150,Discolor,4,Non,H2,30-40,0.5843,10.73,1.416339771
Mtl Est 4,17,15 (Est),M4-151,SX 67,4,Non,H1,,0.2823,4.73,1.231253772
Mtl Est 4,17,15 (Est),M4-152,SX 67,4,Non,H2,30-40,0.4759,5.83,1.416339771
Mtl Est 4,17,18 (Nord),M4-153,Fish Creek,4,Oui,H1,,0.3352,4.32,1.231253772
Mtl Est 4,17,18 (Nord),M4-154,Fish Creek,4,Oui,H2,30-40,0.5464,6.81,1.416339771
Mtl Est 4,17,19 (Ouest),M4-155,SX 67,4,Non,H1,,0.2996,3.37,1.231253772
Mtl Est 4,17,19 (Ouest),M4-156,SX 67,4,Non,H2,MANQUANT,NA,NA,1.416339771
Mtl Est 4,15,21 (Ouest),M4-157,Discolor,4,Oui,H1,,0.5311,6.68,1.231253772
Mtl Est 4,15,21 (Ouest),M4-158,Discolor,4,Oui,H2,30-45,0.2897,3.54,1.416339771
Mtl Est 4,15,Côté rue Saint-Jean-Baptiste,M4-159,Témoin ,4,Témoin,H1,,0.4782,6.77,1.29748793
Mtl Est 4,15,Côté rue Saint-Jean-Baptiste,M4-160,Témoin ,4,Témoin,H2,,0.3106,4.24,1.482159022
Monsabré,18,Nord,MS-161,Témoin ,11,Témoin,H1,,0.5637,7.14,1.172261617
Monsabré,18,Nord,MS-162,Témoin ,11,Témoin,H2,,0.2823,4.73,1.573589318
Monsabré,18,Nord,MS-163,SX 67,11,Non,H1,,0.4759,5.83,1.198928787
Monsabré,18,Nord,MS-164,SX 67,11,Non,H2,,0.3352,4.32,1.411398612
Monsabré,18,Sud,MS-165,Témoin ,11,Témoin,H1,,0.5464,6.81,1.172261617
Monsabré,18,Sud,MS-166,Témoin ,11,Témoin,H2,,0.2996,3.37,1.573589318
Monsabré,18,Sud,MS-167,SX 67,11,Non,H1,,0.5311,6.68,1.198928787
Monsabré,18,Sud,MS-168,SX 67,11,Non,H2,,0.2897,3.54,1.411398612
Monsabré,18,Est,MS-169,Témoin ,11,Témoin,H1,,0.4782,6.77,1.172261617
Monsabré,18,Est,MS-170,Témoin ,11,Témoin,H2,,0.3106,4.24,1.573589318
Monsabré,18,Est,MS-171,SX 67,11,Non,H1,,0.5637,7.14,1.198928787
Monsabré,18,Est,MS-172,SX 67,11,Non,H2,,0.3567,4.7,1.411398612
Orica,19,22,OR-173,Discolor,2,Oui,H1,,0.3239,5.87,1.2120172
Orica,19,22,OR-174,Discolor,2,Oui,H2,,0.2756,5.61,1.413058238
Orica,19,31,OR-175,SX 64,2,Oui,H1,,0.5353,8.54,1.2120172
Orica,19,31,OR-176,SX 64,2,Oui,H2,,0.3425,6.87,1.413058238
Orica,19,Bloc 1,OR-177,Témoin ,2,Témoin,H1,,0.3473,7.08,1.542622209
Orica,19,Bloc 1,OR-178,Témoin ,2,Témoin,H2,,0.3402,7.47,1.463827701
Orica,20,38,OR-179,SX 64,2,Oui,H1,,0.3545,5.15,1.2120172
Orica,20,38,OR-180,SX 64,2,Oui,H2,,0.2898,4.21,1.413058238
Orica,20,41,OR-181,Discolor,2,Oui,H1,,0.3969,5.76,1.2120172
Orica,20,41,OR-182,Discolor,2,Oui,H2,,0.3269,4.91,1.413058238
Orica,20,Bloc 2,OR-183,Témoin ,2,Témoin,H1,,0.2482,3.74,1.542622209
Orica,21,Bloc 2,OR-184,Témoin ,2,Témoin,H2,,0.1839,2.93,1.463827701
Orica,21,47,OR-185,Discolor,2,Oui,H1,,0.258,4.06,1.2120172
Orica,21,47,OR-186,Discolor,2,Oui,H2,,0.2207,3.86,1.413058238
Orica,21,49,OR-187,SX 64,2,Oui,H1,,0.2511,3.42,1.2120172
Orica,21,49,OR-188,SX 64,2,Oui,H2,,0.207,3.22,1.413058238
Orica,21,Bloc 3,OR-189,Témoin ,2,Témoin,H1,,0.2841,4.34,1.542622209
Orica,21,Bloc 3,OR-190,Témoin ,2,Témoin,H2,,0.2396,4.52,1.463827701
St-Roch,22,A3B,SR-191,SX 67,14,Oui,H1,,0.1836,1.7,1.760297224
St-Roch,22,A3B,SR-192,SX 67,14,Oui,H2,,0.0936,0.79,1.745737779
St-Roch,22,A3B (grand),SR-193,SX 67,14,Non,H1,,0.2251,2.17,1.760297224
St-Roch,22,A3B (grand),SR-194,SX 67,14,Non,H2,,0.1057,0.91,1.745737779
St-Roch,22,"En marge de ""A3B""",SR-195,Témoin ,14,Témoin,H1,,0.2447,2.58,1.572042849
St-Roch,22,"En marge de ""A3B""",SR-196,Témoin ,14,Témoin,H2,,0.0845,0.86,1.611722993
St-Roch,23,L2S(N),SR-197,Fish Creek,15,Oui,H1,,0.2775,2.74,1.760297224
St-Roch,23,L2S(N),SR-198,Fish Creek,15,Oui,H2,,0.187,2.1,1.745737779
St-Roch,23,L2S(S),SR-199,Fish Creek,15,Oui,H1,,0.1217,1.24,1.760297224
St-Roch,23,L2S(S),SR-200,Fish Creek,15,Oui,H2,,0.0428,0.45,1.745737779
St-Roch,23,L2S(C),SR-201,Fish Creek,15,Oui,H1,,0.1815,1.99,1.760297224
St-Roch,23,L2S(C),SR-202,Fish Creek,15,Oui,H2,,0.086,2.72,1.745737779
St-Roch,23,"En marge de ""L2""",SR-203,Témoin ,15,Témoin,H1,,0.2605,2.95,1.572042849
St-Roch,23,"En marge de ""L2""",SR-204,Témoin ,15,Témoin,H2,,0.1895,1.95,1.611722993
St-Roch,24,L4A,SR-205,SX 67,16,Oui,H1,,0.2045,2.08,1.760297224
St-Roch,24,L4A,SR-206,SX 67,16,Oui,H2,,0.0611,0.42,1.745737779
St-Roch,24,L10,SR-207,Discolor,1,Non,H1,,0.2252,2.62,1.760297224
St-Roch,24,L10,SR-208,Discolor,1,Non,H2,,0.166,1.81,1.745737779
St-Roch,24,L11,SR-209,Fish Creek,1,Non,H1,,0.1561,1.68,1.760297224
St-Roch,24,L11,SR-210,Fish Creek,1,Non,H2,,0.0812,0.79,1.745737779
St-Roch,24,L12,SR-211,SX 64,9,Oui,H1,,0.1724,1.91,1.760297224
St-Roch,24,L12,SR-212,SX 64,9,Oui,H2,,0.1172,1.19,1.745737779
St-Roch,24,"En marge des ""L10""",SR-213,Témoin ,9,Témoin,H1,,0.3498,3.89,1.572042849
St-Roch,24,"En marge des ""L10""",SR-214,Témoin ,9,Témoin,H2,,0.133,2.48,1.611722993
St-Roch,25,M4S (S),SR-215,Discolor,10,Oui,H1,,0.2629,3.08,1.760297224
St-Roch,25,M4S (S),SR-216,Discolor,10,Oui,H2,,0.1345,4.77,1.745737779
St-Roch,25,M4S (C),SR-217,Discolor,10,Oui,H1,,0.2383,3,1.760297224
St-Roch,25,M4S (C),SR-218,Discolor,10,Oui,H2,,0.1018,1.18,1.745737779
St-Roch,25,M4Est (N),SR-219,Discolor,10,Oui,H1,,0.2141,3.27,1.760297224
St-Roch,25,M4Est (N),SR-220,Discolor,10,Oui,H2,,0.1221,4.93,1.745737779
St-Roch,25,M4Est (C),SR-221,Discolor,10,Oui,H1,,0.1921,2.48,1.760297224
St-Roch,25,M4Est (C),SR-222,Discolor,10,Oui,H2,,0.0887,1.06,1.745737779
St-Roch,25,"En marge de ""M4""",SR-223,Témoin ,10,Témoin,H1,,0.2662,3.62,1.572042849
St-Roch,25,"En marge de ""M4""",SR-224,Témoin ,10,Témoin,H2,,0.1126,4.34,1.611722993
St-Roch,26,PRU2,SR-225,SX 67,13,Oui,H1,,0.166,1.72,1.760297224
St-Roch,26,PRU2,SR-226,SX 67,13,Oui,H2,,0.0416,0.5,1.745737779
St-Roch,26,"En marge de ""PRU2""",SR-227,Témoin ,13,Témoin,H1,,0.2469,2.59,1.572042849
St-Roch,26,"En marge de ""PRU2""",SR-228,Témoin ,13,Témoin,H2,,0.0746,0.94,1.611722993
TATA,27,Bord rue,TA-229,Témoin ,14,Témoin,H1,,0.2083,4.82,1.873566687
TATA,27,Bord rue,TA-230,Témoin ,14,Témoin,H2,,0.1572,4.51,1.807068497
TATA,27,Dehors parcelle,TA-231,Témoin ,14,Témoin,H1,,0.0921,1.69,1.873566687
TATA,27,Dehors parcelle,TA-232,Témoin ,14,Témoin,H2,,0.0589,1.73,1.807068497
TATA,27,Parcelle unique (N),TA-233,SX 67,14,Non,H1,,0.1452,2.19,1.403628546
TATA,27,Parcelle unique (N),TA-234,SX 67,14,Non,H2,,0.0731,1.58,1.87315178
TATA,27,Parcelle unique (S),TA-235,SX 67,14,Non,H1,,0.129,2.21,1.403628546
TATA,27,Parcelle unique (S),TA-236,SX 67,14,Non,H2,,0.0569,1.31,1.87315178
TATA,28,Pointe St-C,TA-237,SX 67,14,Non,H1,,0.2463,4.48,1.403628546
TATA,28,Pointe St-C,TA-238,SX 67,14,Non,H2,,0.0994,2.46,1.87315178
TATA,28,Pointe St-C,TA-239,Témoin ,14,Témoin,H1,,0.2197,3.65,1.873566687
TATA,28,Pointe St-C,TA-240,Témoin ,14,Témoin,H2,30-50,0.1368,4.87,1.807068497
